"","shape_id","Positive","Negative"
"401",121639,158.46,-198.73
"402",121640,193.49,-227.72
"403",121641,225.28,-228.74
"404",121642,208.45,-205.09
"405",121643,163.06,-162.96
"406",121644,160.52,-163.98
"407",121645,206.01,-206.01
"408",121646,307.21,-242.91
"409",121647,402.61,-379.05
"410",121648,402.39,-402.39
"411",121649,438.78,-436.59
"412",121650,307.49,-395.99
"413",121651,393.59,-392.91
"414",121652,303.66,-303.66
"415",121653,194.68,-160.24
"416",121654,306.58,-250.26
"417",121655,262.06,-262.06
"418",121656,194.68,-251
"419",121657,144.61,-179.05
"420",121658,278.52,-278.52
"421",121659,265.97,-265.97
"422",121660,179.03,-179.03
"423",121661,174.88,-148.92
"424",121662,254.88,-221.25
"425",121663,147.05,-205.41
"426",121664,176.54,-181.82
"427",121665,235.6,-234.51
"428",121666,95.12,-98.79
"429",121667,208.69,-180.14
"430",121668,85.08,-113.7
"431",121669,178.86,-150.24
"432",121670,156.78,-177.57
"433",121671,101.62,-101.62
"434",121672,101.62,-109.47
"435",121673,102.83,-94.98
"436",121674,177.83,-185.68
"437",121675,220.4,-212.55
"438",121676,235.18,-225.2
"439",121677,193.56,-194
"440",121678,200.53,-213.96
"441",121679,353.8,-331.72
"442",121680,307.85,-307.24
"443",121681,275.71,-275.71
"444",121682,354.93,-360.28
"445",121683,299.59,-296.06
"446",121684,308.94,-307.12
"447",121685,290.2,-290.2
"448",121686,320.97,-324.27
"449",121687,393.11,-389.81
"450",121688,264.11,-250.42
"451",121689,168.11,-168.33
"452",121690,373.67,-392.49
"453",121691,326.07,-320.72
"454",121692,247.18,-250.48
"455",121693,337.8,-337.8
"456",121694,263.88,-260.58
"457",121695,290.2,-290.2
"458",121696,207.77,-226.57
"459",121697,261.58,-269.43
"460",121698,227.45,-219.6
"461",121699,288.49,-288.49
"462",121700,291.62,-291.52
"463",121701,369.37,-369.37
"464",121702,350.44,-358.39
"465",121703,438.55,-430.7
"466",121704,331.17,-339.02
"467",121705,293.62,-285.77
"468",121706,428.39,-428.39
"469",121707,368.47,-368.47
"470",121708,291.62,-291.62
"471",121709,350.54,-350.54
"472",121710,189.85,-189.85
"473",121711,288.49,-296.34
"474",121712,315.31,-315.31
"475",121713,227.45,-227.45
"476",121714,235.83,-237.35
"477",121715,198.75,-199.01
"478",121716,185.75,-176.12
"479",121717,210.23,-210.13
"480",121718,210.27,-218.22
"481",121719,186.55,-178.7
"482",121720,188.19,-164.09
"483",121722,131.08,-155.08
"484",121723,154.68,-162.63
"485",121724,266.64,-209.01
